class,homogeneity_d1_a45,homogeneity_d1_a135,homogeneity_d2_a0,homogeneity_d2_a45,homogeneity_d2_a90,homogeneity_d2_a135,homogeneity_d3_a0,homogeneity_d3_a45,homogeneity_d3_a90,homogeneity_d3_a135,energy_d1_a45,energy_d1_a90,energy_d2_a0,energy_d2_a45,energy_d2_a90,energy_d2_a135,energy_d3_a0,energy_d3_a45,energy_d3_a90,energy_d3_a135
0,0.6948936735470068,0.6979329286052913,0.6667614614281444,0.6948936735470068,0.7220420596338523,0.6979329286052913,0.6101149125859073,0.5768311666317739,0.659698010880871,0.5795478009970603,0.1032614123500074,0.1327848920722535,0.0994944926172236,0.1032614123500074,0.1140742622896682,0.1036863881565168,0.091106898135594,0.0853001525419293,0.103184450951896,0.0856310067211731
0,0.6804494997707837,0.6822974587989139,0.7179377822258989,0.6804494997707837,0.6467050014322926,0.6822974587989139,0.6560051794984552,0.5590584347330685,0.5899401707401728,0.5627520108561738,0.0971875077840733,0.109077625256993,0.1099189222394254,0.0971875077840733,0.0922332993925504,0.09739199458678,0.0997451025263022,0.0793667314959192,0.0842968918781016,0.0797698568371689
0,0.7031712737912202,0.6980433630017717,0.6845026022399168,0.7031712737912202,0.7137579266597305,0.6980433630017717,0.6354880579356207,0.587052440339603,0.6379642632546418,0.5802152967235817,0.1052072710963606,0.1328361345965507,0.1048143223966914,0.1052072710963606,0.1114703568244028,0.1044391387032212,0.0971294548813964,0.0872124172261286,0.098243759069737,0.0863544718637202
0,0.6446221760357704,0.6450590361288406,0.6340765605198887,0.6446221760357704,0.6288009576282613,0.6450590361288406,0.5777255452353623,0.5234082004635718,0.566870033038019,0.5254107534054085,0.0929214666076925,0.1125613006207914,0.0935529813534169,0.0929214666076925,0.0924842004067628,0.0930498121101875,0.0853137123424831,0.0759646054577087,0.0832601887320811,0.0762339640209491
0,0.5906503439115587,0.592018989795991,0.5510068873071201,0.5906503439115587,0.6324737626379648,0.592018989795991,0.4954768717687691,0.4672831970267758,0.5689301218802028,0.4701028078969311,0.072295490988057,0.1010377225982043,0.0679359529081694,0.072295490988057,0.082919483515255,0.0723907209829929,0.0615756163347414,0.0584405596297624,0.0744913558160495,0.0586873199624265
0,0.6619083116599026,0.6601647895844569,0.6465438034437756,0.6619083116599026,0.6646066550737445,0.6601647895844569,0.573731143654824,0.5288622574343326,0.6066495260013737,0.5254859920425979,0.0854231791309335,0.1051055379712616,0.0848941051815628,0.0854231791309335,0.0897707631174017,0.0852846479587458,0.0750703511382566,0.0676062209142017,0.082149793603305,0.0672776727129914
0,0.5983621225831717,0.600397939178409,0.5618831623452244,0.5983621225831717,0.6356584270155619,0.600397939178409,0.5039217736534988,0.4734533498929243,0.5713255561627777,0.4775317894017347,0.0739326144600435,0.1023850784015334,0.0699564430199694,0.0739326144600435,0.0842087523057563,0.074091649383494,0.0630656636387867,0.0596392898008983,0.075590308962467,0.0599331840455516
0,0.6578464229549005,0.659701607211485,0.6645057499186896,0.6578464229549005,0.644476100597675,0.659701607211485,0.60635029094201,0.5234420319105021,0.5714646782966761,0.5269482593670606,0.0850960617214244,0.1028531140892425,0.0898664591489948,0.0850960617214244,0.0845332881362442,0.0852164954178704,0.0822796550665912,0.067050870471741,0.0746912253473307,0.0673709012519309
0,0.6598169310048063,0.6580223963052849,0.6648139841316046,0.6598169310048063,0.644501794445852,0.6580223963052849,0.606780749537735,0.5270914316442417,0.5714750597859911,0.5236991833095709,0.085234538590722,0.1028568853827523,0.089926133241438,0.085234538590722,0.0845353544356398,0.0851263544434616,0.0823490106441097,0.0673885563646212,0.0746884002945362,0.0670873097955839
0,0.5778248556386371,0.5771184559709861,0.545324647210854,0.5778248556386371,0.596130438487453,0.5771184559709861,0.4853057959922076,0.4517842383262911,0.5353728900113961,0.4506302696121568,0.0709957740668976,0.0959110191056815,0.0675346288488127,0.0709957740668976,0.0776205632916845,0.0709938134084139,0.0605824890520141,0.0567665225070298,0.0700173995908884,0.0567511252964856
