contrast,dissimilarity,homogeneity,energy,correlation,class
0.42638837976539595,0.24736528592375367,0.8877855102127515,0.14493980858064992,0.9981823906643612,0
0.33356816654447713,0.1733030913978495,0.9225507157690533,0.14595630023881018,0.9988792804093078,0
0.4006607786534703,0.19344051655669603,0.9161131507069563,0.15087042052394184,0.9984132992330249,0
0.29666594116568923,0.22557448222140766,0.8940768919504118,0.14233534981755755,0.9988863639513057,0
0.4926266190127078,0.3361055107526882,0.8468398314049485,0.12071267761306617,0.9986887938262894,0
0.33580003665689145,0.2347950268817204,0.892223725040781,0.12548665226642483,0.9992225437554186,0
0.46908602150537637,0.26475439882697943,0.8848773345176584,0.12607452283651008,0.9987051399361633,0
0.36551980235826015,0.25973221377077227,0.8800618751028718,0.13612921505446723,0.9984936850180253,0
0.5380849828934507,0.3152549945014663,0.8617623765205195,0.12089223309522068,0.9984625652996412,0
0.46028741293988273,0.315683612842131,0.8554028029031748,0.12011286834719867,0.9986141140035198,0
0.5676873319892474,0.3714679557673509,0.8317944876979407,0.11263766983041856,0.9983777131312768,0
0.3221415261485826,0.23734382636852397,0.8893308101301879,0.14351579361350647,0.9984552219504954,0
0.4028601921432062,0.26168152034457476,0.8818027505981876,0.16742220912524408,0.9985252037957463,0
0.4816085502199415,0.27697718108504404,0.8799493415828098,0.16883186513554696,0.9982391067873103,0
0.4816085502199415,0.27697718108504404,0.8799493415828098,0.16883186513554696,0.9982391067873103,0
0.44555592467008803,0.3002151683162268,0.8632176326569538,0.16436079901487594,0.9980880733746506,0
0.3486862704667645,0.24914562713831873,0.8845355427504275,0.17374576089629912,0.9979302712288822,0
0.4546934185606061,0.2796930367179863,0.8759567096615006,0.16278873230036256,0.9977828286764022,0
0.38038302633186705,0.2535253619868035,0.8848831518664988,0.16625484319832268,0.9981609751343442,0
0.5306648261852395,0.3394685896260997,0.847267467496172,0.14157904129856988,0.9977618660814589,0
0.5184573176319648,0.348336884469697,0.8409687927558389,0.1466527401660818,0.9969831571291691,0
